,Req_Time,Acc_TarA,EPSDAIReq,easting,northing,speed,yaw,Loc_Time
144,1615187496.5437016,1.847472012042999,-1.6508975629363238,1623.3200579956174,-518.6048385519533,4.043806552886963,-2.342779692880363,1615187496.5427465
145,1615187496.5927768,1.7944009780883787,-1.4412903609532102,1623.2059825662873,-518.7210975796917,4.101520538330078,-2.342752472131937,1615187496.5822074
146,1615187496.6455073,1.4497027158737184,-1.2936263603097036,1623.0313248240855,-518.8983570379205,4.193176746368408,-2.34269232499668,1615187496.6446488
147,1615187496.6921382,0.8177754878997803,-1.192515105051569,1622.882877081982,-519.0492885089479,4.273184299468993,-2.3427236360289285,1615187496.6919134
148,1615187496.7425199,1.0299254417419432,-1.1261566564956251,1622.7316445565084,-519.2030717488378,4.3466763496398935,-2.342952657662136,1615187496.7414298
149,1615187496.7995727,1.017649531364441,-1.0411025958534972,1622.5778146164953,-519.359896121081,4.4208760261535645,-2.3432041408974187,1615187496.7925036
150,1615187496.8428338,0.8369270980358123,-0.9626470575866196,1622.4213152137818,-519.5197415915318,4.501026153564453,-2.343340478653295,1615187496.8428168
151,1615187496.8914015,0.5606246948242187,-0.8938903978519765,1622.294140013284,-519.6498316652142,4.565360069274902,-2.343305675287028,1615187496.8806918
152,1615187496.9442992,0.6115932703018189,-0.8231454482891326,1622.0999336353852,-519.8490241561085,4.676007270812988,-2.343225820941055,1615187496.9442804
153,1615187496.9930015,0.5720776557922362,-0.7522171468834897,1621.9682384418554,-519.9842905336991,4.742997646331787,-2.3432276221382957,1615187496.9811769
227,1615187500.6963565,0.8662475943565369,3.405707611890118,1608.5235915646192,-533.7687851879746,3.479583740234375,-2.3428024258462297,1615187500.6922894
228,1615187500.7419696,0.7515067696571349,3.3715671512406264,1608.4031946430332,-533.8920370768756,3.4316811561584477,-2.3428753648660936,1615187500.74104
229,1615187500.7930114,0.7258716881275176,3.3344088996335133,1608.2844652371716,-534.0135499052703,3.3849947452545166,-2.342892769516288,1615187500.791997
230,1615187500.8408568,0.6308502733707427,3.3009617937837006,1608.190715893812,-534.1094054267742,3.3446619510650635,-2.3429094204111367,1615187500.8308518
231,1615187500.8951564,0.6840247690677642,3.2607222647388934,1608.0522354686402,-534.250904135406,3.2803037166595463,-2.3429015833068365,1615187500.8908055
232,1615187500.9409232,0.6553662896156309,3.2249130692489385,1607.938748544082,-534.3670296249911,3.23316502571106,-2.342954285600543,1615187500.9382606
233,1615187500.9918716,0.6858808040618897,3.187465785238938,1607.849248972896,-534.4587389691733,3.194934844970703,-2.3430607818914013,1615187500.981958
234,1615187501.0470705,0.6561452984809875,3.1484057413710214,1607.7389908835758,-534.5718225953168,3.1514911651611333,-2.3431819882535283,1615187501.039494
235,1615187501.0973036,0.7049907863140106,3.1212581871177165,1607.6083941126708,-534.7056508995594,3.1126220226287837,-2.3432838083709884,1615187501.0964596
236,1615187501.141579,0.7210566580295562,3.1019795674144603,1607.500343270076,-534.8161981748417,3.092621326446533,-2.3433113541171746,1615187501.1371553
237,1615187501.1908574,0.7016355037689209,3.0855162969077488,1607.414251495502,-534.9042897676119,3.0833919048309326,-2.3433294346112143,1615187501.1817994
238,1615187501.243476,0.6380824267864227,3.0813577135616166,1607.2855258829075,-535.0362725718878,3.07637095451355,-2.343438291180634,1615187501.2424867
239,1615187501.2930515,0.6361474454402923,3.0793886096128813,1607.178525433992,-535.1460675247945,3.0735895633697514,-2.3435492778196854,1615187501.2911675
240,1615187501.3435886,0.6463175773620605,3.0805704988778952,1607.0712421864735,-535.2559753782116,3.08170747756958,-2.343623751420294,1615187501.341548
241,1615187501.396386,0.6360830247402189,3.0874722330830093,1606.9632521786843,-535.3664127620868,3.1010618209838867,-2.34370598885628,1615187501.391402
242,1615187501.441297,0.6182904243469238,3.1013332600313763,1606.8761149026104,-535.4554219692945,3.1248600482940674,-2.343761384053395,1615187501.4311244
243,1615187501.495038,0.595607441663742,3.1224201093919133,1606.7438927068142,-535.5904533290304,3.172637462615967,-2.343814662462834,1615187501.4930954
244,1615187501.5436337,0.5667731165885925,3.15288166140904,1606.6321351007211,-535.7047864249907,3.2164828777313232,-2.34383888422946,1615187501.5431638
245,1615187501.5908651,0.5322537422180176,3.1893114887905187,1606.5415619609994,-535.7975559621118,3.256065845489502,-2.3438363515996348,1615187501.5800695
246,1615187501.650828,0.5019177347421646,3.2301280902556475,1606.3804246429354,-535.962653207127,3.3260593414306636,-2.3437959210824197,1615187501.6471386
247,1615187501.6967282,0.5117376357316971,3.282351280645082,1606.2868848338258,-536.0585054964758,3.3642902374267583,-2.3438056054257466,1615187501.6928315
248,1615187501.747736,0.5927660048007964,3.3378434838946336,1606.1684226180662,-536.1798086748458,3.4095325469970703,-2.343831349555812,1615187501.742609
249,1615187501.794739,0.6212781965732574,3.393535576919405,1606.0482622480483,-536.302686299663,3.454350471496582,-2.343832952204398,1615187501.7935207
250,1615187501.8443422,0.6297294795513153,3.4495325936135237,1605.9263668862984,-536.4271776857787,3.5016560554504395,-2.3437834917201514,1615187501.842601
251,1615187501.8987849,0.5710555016994476,3.5061700573689363,1605.8023541459695,-536.5533708115108,3.5568120479583736,-2.3435635629556413,1615187501.8918412
252,1615187501.94408,0.5674346804618835,3.558219095685919,1605.7019144389776,-536.6553838429973,3.590487241744995,-2.3434417449079707,1615187501.9311676
253,1615187501.991264,0.6027067959308624,3.610513338863637,1605.5753966820193,-536.7839775844477,3.620751857757568,-2.3432840460673794,1615187501.9819114
