Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,longitude,latitude,easting,northing,height,speed,yaw,pitch,roll
1622864255.210972,575664,1622864255,180000067,map,121.18250826317,31.27641024173,798.5465632911073,-710.6346838744357,0.0,13.67492389678955,3.053477799181586,0.0,0.0
1622864255.2211077,575665,1622864255,190000057,map,121.18250682967,31.27641032815,798.4102349611348,-710.6228552176617,0.0,13.66928768157959,3.053294546975416,0.0,0.0
1622864255.3134234,575666,1622864255,200000048,map,121.18250539554,31.27641041478,798.2738470286131,-710.6110022896901,0.0,13.670958518981934,3.0530698006309307,0.0,0.0
1622864255.3135982,575667,1622864255,210000038,map,121.18250396108,31.27641050403,798.1374324622448,-710.5988584011793,0.0,13.681984901428223,3.0527933095327264,0.0,0.0
1622864255.3136091,575668,1622864255,220000029,map,121.18250252837,31.27641059082,798.0011800258071,-710.5869899610989,0.0,13.669478416442871,3.0525863302036944,0.0,0.0
1622864255.3136163,575669,1622864255,230000019,map,121.18250109586,31.27641067808,797.8649474921403,-710.5750697297044,0.0,13.658641815185547,3.052391455745316,0.0,0.0
1622864255.3136318,575670,1622864255,240000010,map,121.18249966275,31.27641076631,797.7286596000777,-710.5630410262384,0.0,13.666080474853516,3.052190646556615,0.0,0.0
1622864255.313643,575671,1622864255,250000000,map,121.1824982273,31.27641085692,797.5921532568755,-710.5507448143326,0.0,13.685601234436035,3.0519663738072227,0.0,0.0
1622864255.3136547,575672,1622864255,259999990,map,121.18249679365,31.27641094545,797.4558145003975,-710.5386820030399,0.0,13.681673049926758,3.05175529794609,0.0,0.0
1622864255.3136811,575673,1622864255,269999981,map,121.18249536037,31.27641103402,797.3195110420347,-710.5266153360717,0.0,13.675369262695312,3.0515196754252907,0.0,0.0
1622864255.3137076,575674,1622864255,279999971,map,121.18249392694,31.27641112297,797.1831939989934,-710.5145063064992,0.0,13.674057006835938,3.051257489569236,0.0,0.0
1622864255.318342,575675,1622864255,289999962,map,121.18249249174,31.27641121485,797.0467137829401,-710.5020696916617,0.0,13.678383827209473,3.050996942839147,0.0,0.0
1622864255.3284292,575676,1622864255,299999952,map,121.18249105848,31.27641130465,796.9104144756566,-710.4898667000234,0.0,13.67776870727539,3.0507403004105953,0.0,0.0
1622864255.339251,575677,1622864255,309999943,map,121.18248962509,31.27641139514,796.7741040540859,-710.4775870093144,0.0,13.680096626281738,3.050484397949286,0.0,0.0
1622864255.3462853,575678,1622864255,319999933,map,121.18248819186,31.27641148637,796.6378102174494,-710.4652255363762,0.0,13.680346488952637,3.050263211692503,0.0,0.0
1622864255.3587117,575679,1622864255,329999924,map,121.18248675798,31.27641158005,796.5014589674538,-710.4525914443657,0.0,13.678277015686035,3.050038238821734,0.0,0.0
1622864255.369018,575680,1622864255,339999914,map,121.18248532399,31.27641167244,796.3650948887225,-710.4401001832448,0.0,13.682011604309082,3.0497983482029696,0.0,0.0
1622864255.3782754,575681,1622864255,349999905,map,121.18248389063,31.27641176473,796.228790609166,-710.4276209934615,0.0,13.680004119873047,3.0495330578425066,0.0,0.0
1622864255.3888311,575682,1622864255,359999895,map,121.18248245807,31.27641185708,796.0925626134267,-710.4151364034042,0.0,13.672151565551758,3.049255067174863,0.0,0.0
1622864255.4001434,575683,1622864255,369999886,map,121.18248102434,31.27641195208,795.9562280563405,-710.4023562106304,0.0,13.66882610321045,3.0490286307407977,0.0,0.0
1622864255.4085217,575684,1622864255,380000114,map,121.18247959173,31.27641204544,795.819997140381,-710.3897595764138,0.0,13.672804832458496,3.0487329934330587,0.0,0.0
1622864255.4186904,575685,1622864255,390000105,map,121.1824781575,31.27641213973,795.6836136826314,-710.3770573032089,0.0,13.686410903930664,3.048442864052827,0.0,0.0
1622864255.428431,575686,1622864255,400000095,map,121.18247672456,31.27641223393,795.5473528847797,-710.3643670286983,0.0,13.68854808807373,3.048216355938089,0.0,0.0
1622864255.438991,575687,1622864255,410000086,map,121.18247529378,31.2764123303,795.4113017057534,-710.3514395835809,0.0,13.675312995910645,3.047935413028562,0.0,0.0
1622864255.449696,575688,1622864255,420000076,map,121.18247386164,31.27641242551,795.2751189197879,-710.3386385967024,0.0,13.674707412719727,3.047646252794758,0.0,0.0
1622864255.4582436,575689,1622864255,430000067,map,121.18247242985,31.27641252086,795.1389697151608,-710.3258226355538,0.0,13.673455238342285,3.047390141766603,0.0,0.0
1622864255.4686596,575690,1622864255,440000057,map,121.18247099754,31.27641261715,795.0027727165725,-710.3129016528837,0.0,13.680418968200684,3.0471215805544034,0.0,0.0
1622864255.4891126,575691,1622864255,450000048,map,121.18246956655,31.27641271346,794.8667014326202,-710.2999805235304,0.0,13.681068420410156,3.0468313257722652,0.0,0.0
1622864255.4898415,575692,1622864255,460000038,map,121.18246813637,31.27641281154,794.7307105076616,-710.2868644474074,0.0,13.666495323181152,3.046485166139416,0.0,0.0
1622864255.4990494,575693,1622864255,470000029,map,121.18246670589,31.27641290845,794.5946888787439,-710.2738775997423,0.0,13.662239074707031,3.0461702511290385,0.0,0.0
1622864255.5085688,575694,1622864255,480000019,map,121.1824652774,31.27641300523,794.4588564849691,-710.2609082818963,0.0,13.652321815490723,3.0458427509857566,0.0,0.0
1622864255.5185459,575695,1622864255,490000010,map,121.18246384806,31.27641310449,794.3229476934648,-710.2476627081633,0.0,13.650115966796875,3.045514038990561,0.0,0.0
1622864255.5294502,575696,1622864255,500000000,map,121.1824624198,31.27641320212,794.1871387505089,-710.2345995218493,0.0,13.651469230651855,3.0451832429326133,0.0,0.0
